"","MUNICIPIO","iteracion","ranking"
"323","Huasca","Km, 0",58
"324","Huasca","Km,2",59
"325","Huasca","Km,4",61
"326","Huasca","Km,6",61
"327","Huasca","Km,8",61
"328","Huasca","Km,10",60
"329","Huasca","Km,12",60
"330","Huasca","Km,14",60
"331","Huasca","Km,16",60
"332","Huasca","Km,18",61
"333","Huasca","Km,20",61
"334","Huasca","Km,22",61
"335","Huasca","Km,24",61
"336","Huasca","Km,26",61
"337","Huautla","Km, 0",48
"338","Huautla","Km,2",61
"339","Huautla","Km,4",59
"340","Huautla","Km,6",59
"341","Huautla","Km,8",60
"342","Huautla","Km,10",63
"343","Huautla","Km,12",63
"344","Huautla","Km,14",63
"345","Huautla","Km,16",63
"346","Huautla","Km,18",65
"347","Huautla","Km,20",65
"348","Huautla","Km,22",65
"349","Huautla","Km,24",65
"350","Huautla","Km,26",65
"351","Huazalingo","Km, 0",73
"352","Huazalingo","Km,2",81
"353","Huazalingo","Km,4",78
"354","Huazalingo","Km,6",78
"355","Huazalingo","Km,8",77
"356","Huazalingo","Km,10",77
"357","Huazalingo","Km,12",77
"358","Huazalingo","Km,14",77
"359","Huazalingo","Km,16",77
"360","Huazalingo","Km,18",77
"361","Huazalingo","Km,20",77
"362","Huazalingo","Km,22",77
"363","Huazalingo","Km,24",77
"364","Huazalingo","Km,26",77
"365","Huehuetla","Km, 0",74
"366","Huehuetla","Km,2",66
"367","Huehuetla","Km,4",63
"368","Huehuetla","Km,6",64
"369","Huehuetla","Km,8",64
"370","Huehuetla","Km,10",64
"371","Huehuetla","Km,12",64
"372","Huehuetla","Km,14",64
"373","Huehuetla","Km,16",64
"374","Huehuetla","Km,18",63
"375","Huehuetla","Km,20",63
"376","Huehuetla","Km,22",63
"377","Huehuetla","Km,24",63
"378","Huehuetla","Km,26",63
"379","Huejutla","Km, 0",10
"380","Huejutla","Km,2",12
"381","Huejutla","Km,4",14
"382","Huejutla","Km,6",14
"383","Huejutla","Km,8",14
"384","Huejutla","Km,10",15
"385","Huejutla","Km,12",15
"386","Huejutla","Km,14",15
"387","Huejutla","Km,16",15
"388","Huejutla","Km,18",15
"389","Huejutla","Km,20",15
"390","Huejutla","Km,22",15
"391","Huejutla","Km,24",15
"392","Huejutla","Km,26",15
"393","Huichapan","Km, 0",13
"394","Huichapan","Km,2",25
"395","Huichapan","Km,4",25
"396","Huichapan","Km,6",24
"397","Huichapan","Km,8",23
"398","Huichapan","Km,10",23
"399","Huichapan","Km,12",23
"400","Huichapan","Km,14",23
"401","Huichapan","Km,16",23
"402","Huichapan","Km,18",23
"403","Huichapan","Km,20",23
"404","Huichapan","Km,22",25
"405","Huichapan","Km,24",25
"406","Huichapan","Km,26",25
"407","Ixmiquilpan","Km, 0",17
"408","Ixmiquilpan","Km,2",39
"409","Ixmiquilpan","Km,4",41
"410","Ixmiquilpan","Km,6",41
"411","Ixmiquilpan","Km,8",41
"412","Ixmiquilpan","Km,10",41
"413","Ixmiquilpan","Km,12",41
"414","Ixmiquilpan","Km,14",41
"415","Ixmiquilpan","Km,16",41
